unix;low;high;open;close;volume;date
1429747200;200.0;300.0;300.0;220.0;0.03;2015-04-23 02:00:00;None
1429833600;220.0;220.0;220.0;220.0;0.01;2015-04-24 02:00:00;None
1430092800;205.27;209.47;205.27;209.47;0.22426;2015-04-27 02:00:00;None
1430179200;204.48;209.53;209.19;205.95;3.759;2015-04-28 02:00:00;None
1430265600;198.33;206.49;205.68;203.65;261.2847;2015-04-29 02:00:00;None
1430352000;202.48;212.91;203.63;211.12;258.98;2015-04-30 02:00:00;None
1430438400;208.34;212.45;210.31;209.23;111.81;2015-05-01 02:00:00;None
1430524800;208.3;211.35;208.3;211.19;62.5381;2015-05-02 02:00:00;None
1430611200;209.41;216.22;210.43;214.95;111.12863424;2015-05-03 02:00:00;None
1430697600;213.77;217.68;214.63;215.25;194.5914;2015-05-04 02:00:00;None
1430784000;209.54;223.71;215.32;215.85;303.4783;2015-05-05 02:00:00;None
1430870400;201.61;224.44;215.62;202.48;248.27297003;2015-05-06 02:00:00;None
1430956800;201.24;211.64;203.26;210.89;235.076864;2015-05-07 02:00:00;None
1431043200;207.26;219.94;211.22;217.81;202.60840521;2015-05-08 02:00:00;None
1431129600;213.84;220.0;217.95;216.17;108.52079;2015-05-09 02:00:00;None
1431216000;213.95;218.44;216.05;215.8;86.2577;2015-05-10 02:00:00;None
1431302400;214.67;219.15;215.85;217.83;145.863137;2015-05-11 02:00:00;None
1431388800;214.16;218.5;218.04;215.5;127.22552;2015-05-12 02:00:00;None
1431475200;208.53;217.45;216.43;208.88;111.8082852;2015-05-13 02:00:00;None
1431561600;204.94;209.83;209.23;207.93;148.2284;2015-05-14 02:00:00;None
1431648000;207.62;209.51;207.95;208.55;127.7188;2015-05-15 02:00:00;None
1431734400;206.89;209.06;208.54;207.74;46.71;2015-05-16 02:00:00;None
1431820800;207.1;209.38;208.5;207.27;88.27;2015-05-17 02:00:00;None
1431907200;206.83;209.06;207.97;206.9;155.98;2015-05-18 02:00:00;None
1431993600;206.84;211.89;209.05;208.19;146.77;2015-05-19 02:00:00;None
1432080000;209.01;211.89;209.22;211.5;181.02659;2015-05-20 02:00:00;None
1432166400;210.36;213.34;211.25;211.8;178.29057;2015-05-21 02:00:00;None
1432252800;210.24;219.18;212.11;215.93;159.585781;2015-05-22 02:00:00;None
1432339200;215.01;218.71;218.0;218.02;170.338525;2015-05-23 02:00:00;None
1432425600;210.08;220.03;217.14;218.53;151.00314172;2015-05-24 02:00:00;None
1432512000;215.16;219.86;218.81;216.0;164.71467;2015-05-25 02:00:00;None
1432598400;214.59;218.97;216.0;217.45;292.63188;2015-05-26 02:00:00;None
1432684800;212.13;219.6;217.45;217.72;207.94042442;2015-05-27 02:00:00;None
1432771200;212.85;218.05;217.46;216.16;164.95913461;2015-05-28 02:00:00;None
1432857600;214.7;216.61;216.6;215.79;81.01706711;2015-05-29 02:00:00;None
1432944000;211.85;215.8;215.8;213.12;26.958656;2015-05-30 02:00:00;None
1433030400;210.0;214.6;213.44;210.0;63.25223;2015-05-31 02:00:00;None
1433116800;202.55;212.99;210.18;204.13;111.22876;2015-06-01 02:00:00;None
1433203200;201.78;208.99;204.92;202.78;77.15226;2015-06-02 02:00:00;None
1433289600;202.03;203.58;202.78;202.98;56.73229;2015-06-03 02:00:00;None
1433376000;199.99;203.9;202.03;200.49;104.98229373;2015-06-04 02:00:00;None
1433462400;199.17;203.78;200.26;203.01;131.003331;2015-06-05 02:00:00;None
1433548800;202.05;203.84;202.88;202.87;93.0125;2015-06-06 02:00:00;None
1433635200;201.05;203.26;203.12;201.46;27.74;2015-06-07 02:00:00;None
1433721600;200.95;204.03;202.48;202.91;93.10413;2015-06-08 02:00:00;None
1433808000;201.9;206.14;202.1;204.03;134.86284;2015-06-09 02:00:00;None
1433894400;201.5;203.87;203.05;202.02;94.4946201;2015-06-10 02:00:00;None
1433980800;201.94;205.17;201.94;204.3;151.01834;2015-06-11 02:00:00;None
1434067200;203.46;206.86;204.3;204.13;224.2410473;2015-06-12 02:00:00;None
1434153600;203.75;207.02;203.75;206.98;61.489227;2015-06-13 02:00:00;None
1434240000;206.88;208.75;207.19;207.76;62.3081134;2015-06-14 02:00:00;None
1434326400;207.36;211.29;207.75;210.39;285.94869181;2015-06-15 02:00:00;None
1434412800;208.5;224.15;209.58;224.02;398.53610611;2015-06-16 02:00:00;None
1434499200;218.0;229.69;224.26;220.03;435.7145472;2015-06-17 02:00:00;None
1434585600;214.1;222.0;220.16;219.2;330.439335;2015-06-18 02:00:00;None
1434672000;216.0;222.16;219.8;216.0;251.553041;2015-06-19 02:00:00;None
1434758400;211.81;217.37;216.7;217.33;179.93721;2015-06-20 02:00:00;None
1434844800;213.46;216.78;216.45;215.17;96.83637;2015-06-21 02:00:00;None
1434931200;215.04;218.94;215.41;218.32;340.9662;2015-06-22 02:00:00;None
1435017600;216.62;219.91;218.22;218.8;272.8577255;2015-06-23 02:00:00;None
1435104000;214.48;218.88;218.88;214.48;166.297882;2015-06-24 02:00:00;None
1435190400;214.23;217.35;214.6;216.63;199.0171595;2015-06-25 02:00:00;None
1435276800;213.9;217.64;216.47;217.64;162.501676;2015-06-26 02:00:00;None
1435363200;217.49;225.99;217.65;225.6;253.998229;2015-06-27 02:00:00;None
1435449600;223.05;227.46;224.12;227.11;229.17723344;2015-06-28 02:00:00;None
1435536000;225.3;231.34;226.81;229.42;360.25902;2015-06-29 02:00:00;None
1435622400;228.72;241.6;229.65;235.96;506.5035424;2015-06-30 02:00:00;None
1435708800;228.21;238.41;237.02;234.07;604.865665;2015-07-01 02:00:00;None
1435795200;229.01;235.99;234.4;230.01;438.538547;2015-07-02 02:00:00;None
1435881600;227.58;232.14;230.0;231.11;257.47116;2015-07-03 02:00:00;None
1435968000;229.22;233.16;231.3;231.55;127.633145;2015-07-04 02:00:00;None
1436054400;231.55;242.48;233.15;242.47;467.286805;2015-07-05 02:00:00;None
1436140800;233.06;252.2;233.33;243.9;470.82310461;2015-07-06 02:00:00;None
1436227200;241.03;248.05;245.01;242.99;541.1201873;2015-07-07 02:00:00;None
1436313600;240.43;248.1;243.41;244.75;508.90927008;2015-07-08 02:00:00;None
1436400000;240.56;247.18;245.16;244.04;590.703533;2015-07-09 02:00:00;None
1436486400;243.01;265.09;244.04;257.13;803.6138221;2015-07-10 02:00:00;None
1436572800;255.31;268.0;257.67;264.64;357.32248271;2015-07-11 02:00:00;None
1436659200;264.29;284.3;264.34;280.18;797.02681227;2015-07-12 02:00:00;None
1436745600;253.02;280.56;280.32;267.03;838.5634383;2015-07-13 02:00:00;None
1436832000;261.07;270.45;265.81;261.07;512.78042906;2015-07-14 02:00:00;None
1436918400;260.05;267.74;261.3;261.08;437.13115822;2015-07-15 02:00:00;None
1437004800;252.81;267.55;262.12;256.98;495.09716737;2015-07-16 02:00:00;None
1437091200;250.21;259.69;256.6;259.2;384.68959821;2015-07-17 02:00:00;None
1437177600;255.5;262.26;259.07;256.43;202.32062686;2015-07-18 02:00:00;None
1437264000;252.53;259.04;256.17;256.06;219.71028018;2015-07-19 02:00:00;None
1437350400;252.71;265.9;255.93;258.37;257.28897988;2015-07-20 02:00:00;None
