unix;low;high;open;close;volume;date
1514764800;631.56;668.15;648.25;664.63;8903.06757417;2018-01-01 01:00:00
1514851200;664;765;664.2;735;33153.3437872;2018-01-02 01:00:00
1514937600;725.03;819.06;735;808;24991.45335385;2018-01-03 01:00:00
1515024000;786.77;860.23;807.99;808.09;32607.51882744;2018-01-04 01:00:00
1515110400;789;865;807.65;818.02;23367.10017154;2018-01-05 01:00:00
1515196800;800.99;842.99;818.01;837.89;8516.71190292;2018-01-06 01:00:00
1515283200;831;918;837.89;915;19116.7023236;2018-01-07 01:00:00
1515369600;827.94;997.56;915;967.16;43255.00177995;2018-01-08 01:00:00
1515456000;964.79;1098.5;967.14;1088;35719.1692845;2018-01-09 01:00:00
1515542400;1011;1154;1088.76;1039.4;40263.77126111;2018-01-10 01:00:00
1515628800;930;1110;1039.39;962;32102.8367406;2018-01-11 01:00:00
1515715200;921;1067.8;960.52;1052;16649.25665848;2018-01-12 01:00:00
1515801600;1051.99;1183;1052;1143.9;20540.99020879;2018-01-13 01:00:00
1515888000;1065.99;1148.78;1143.9;1125.99;14263.14585499;2018-01-14 01:00:00
1515974400;1057.95;1146.66;1126;1059.44;14587.08691365;2018-01-15 01:00:00
1516060800;680.9;1065.17;1059.5;887;97467.70289371;2018-01-16 01:00:00
1516147200;602.32;935.09;886;845.43;112932.69151573;2018-01-17 01:00:00
1516233600;787.28;939.99;845.43;865.51;44436.67076144;2018-01-18 01:00:00
1516320000;841;913.97;865.51;866.81;18110.05027387;2018-01-19 01:00:00
1516406400;866.8;958.74;866.8;953.39;17099.500403;2018-01-20 01:00:00
1516492800;842.86;953.69;953.39;867;21623.31464968;2018-01-21 01:00:00
1516579200;751.93;900.08;866.99;827;32573.50166019;2018-01-22 01:00:00
1516665600;752;839.95;827;806.54;22140.52393993;2018-01-23 01:00:00
1516752000;785.89;859.5;807.78;856.08;13780.79171037;2018-01-24 01:00:00
1516838400;827.27;879.8;856.08;847.6;14719.11151135;2018-01-25 01:00:00
1516924800;803.28;863.52;847.61;847.99;17344.52793525;2018-01-26 01:00:00
1517011200;840.01;895.5;848;885;12354.07591969;2018-01-27 01:00:00
1517097600;882.84;993.09;885;982.27;24188.4614;2018-01-28 01:00:00
1517184000;930.5;987.42;982.27;941.01;14318.79476234;2018-01-29 01:00:00
1517270400;824;948.87;941;856.04;32945.67958578;2018-01-30 01:00:00
1517356800;826.37;899;855.65;888;14608.94947637;2018-01-31 01:00:00
1517443200;736;915;888;812.01;49747.76751364;2018-02-01 01:00:00
1517529600;560.27;812;812;736.76;94602.18211977;2018-02-02 01:00:00
1517616000;681.21;809;737;780;24107.20143637;2018-02-03 01:00:00
1517702400;629.14;784;780.01;658.99;31771.49181984;2018-02-04 01:00:00
1517788800;485;682.98;658.99;550.01;88223.33361289;2018-02-05 01:00:00
1517875200;450.09;657.17;550.01;636;114453.16097767;2018-02-06 01:00:00
1517961600;586;713.99;635.05;614.31;55777.84826761;2018-02-07 01:00:00
1518048000;613.06;695.14;615.14;664.26;30260.18278398;2018-02-08 01:00:00
1518134400;640;725;664.26;717;24468.54400308;2018-02-09 01:00:00
1518220800;674.01;748;717;695.4;25870.27529819;2018-02-10 01:00:00
1518307200;635.66;708.5;695.39;664.59;17879.42636465;2018-02-11 01:00:00
1518393600;661.01;709;664.6;701.42;11202.84402109;2018-02-12 01:00:00
1518480000;675.9;702.86;701.41;684.38;8536.84735778;2018-02-13 01:00:00
1518566400;681.15;745;684.58;743.38;21456.98498735;2018-02-14 01:00:00
1518652800;721.47;769.71;743.38;750.55;18495.77156094;2018-02-15 01:00:00
1518739200;732.96;759.44;750.55;757.4;6641.95358348;2018-02-16 01:00:00
1518825600;754.36;792.19;757.4;790.98;7430.42978892;2018-02-17 01:00:00
1518912000;733.29;795;791;742.81;10942.96319312;2018-02-18 01:00:00
1518998400;741.46;769.98;742.8;759.64;4828.88817739;2018-02-19 01:00:00
1519084800;711.76;775.55;759.63;721.35;12365.93903524;2018-02-20 01:00:00
1519171200;663;738.5;721.34;687.38;14980.45818186;2018-02-21 01:00:00
1519257600;641;710.05;687.04;655;11807.07812541;2018-02-22 01:00:00
1519344000;641.28;719.98;655;699.37;11479.12961858;2018-02-23 01:00:00
1519430400;661;711.12;699.44;679.07;5324.61296122;2018-02-24 01:00:00
1519516800;666.66;692.61;679.08;685.46;4344.41588201;2018-02-25 01:00:00
1519603200;680;714.54;685.47;704.24;7129.23814563;2018-02-26 01:00:00
1519689600;702;727.52;704.23;715.6;5430.05717768;2018-02-27 01:00:00
1519776000;696.56;725;715.6;697.51;4945.80907381;2018-02-28 01:00:00
1519862400;696.58;716.6;697.51;710;3066.7600186;2018-03-01 01:00:00
1519948800;688.05;719.57;710.16;694.3;4221.00132055;2018-03-02 01:00:00
1520035200;686.11;704.35;694.29;690.42;2907.65325706;2018-03-03 01:00:00
1520121600;681.39;699;690.42;699;2153.77045877;2018-03-04 01:00:00
1520208000;691.27;700;698.49;691.27;3099.40517653;2018-03-05 01:00:00
