https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume XRP
1621036800000,2021-05-15 00:00:00,XRP/USD,1.402,1.41568,1.38815552,1.38829,131824.197660799,94954.36663867
1621033200000,2021-05-14 23:00:00,XRP/USD,1.38278263,1.41658,1.38255982,1.40221949,70479.0708898746,50262.5098228199
1621029600000,2021-05-14 22:00:00,XRP/USD,1.3755596,1.38999989,1.3736,1.3827,52939.9463099158,38287.36986325
1621026000000,2021-05-14 21:00:00,XRP/USD,1.35427344,1.3795988,1.346,1.37900045,140137.47048397,101622.49800859
1621022400000,2021-05-14 20:00:00,XRP/USD,1.38035811,1.39209567,1.35186,1.357,128379.543629962,94605.4116654101
1621018800000,2021-05-14 19:00:00,XRP/USD,1.4026,1.40299999,1.37700011,1.38059989,96103.0154482385,69609.60676901
1621015200000,2021-05-14 18:00:00,XRP/USD,1.40915402,1.41000001,1.3871,1.4026,227391.088597607,162121.12405362
1621011600000,2021-05-14 17:00:00,XRP/USD,1.4196599,1.42773999,1.3993,1.40746294,76940.0813913624,54665.79559911
1621008000000,2021-05-14 16:00:00,XRP/USD,1.41386175,1.44615136,1.41000001,1.41844436,241470.122885691,170235.87931619
1621004400000,2021-05-14 15:00:00,XRP/USD,1.40403143,1.43664999,1.40403143,1.4125196,105997.917873297,75041.73242856
1621000800000,2021-05-14 14:00:00,XRP/USD,1.41,1.41,1.39230253,1.40257475,95739.5799517152,68259.87702382
1620997200000,2021-05-14 13:00:00,XRP/USD,1.3978,1.41,1.38548479,1.40958186,103923.075447693,73726.17255992
1620993600000,2021-05-14 12:00:00,XRP/USD,1.4075002,1.40908256,1.39422001,1.3978,109031.94495914,78002.53609897
1620990000000,2021-05-14 11:00:00,XRP/USD,1.39382516,1.429,1.38754,1.40908036,198781.211550409,141071.59335498
1620986400000,2021-05-14 10:00:00,XRP/USD,1.39382516,1.39382516,1.381,1.39214824,90771.1690710122,65202.22952048
1620982800000,2021-05-14 09:00:00,XRP/USD,1.39215135,1.40722753,1.38369483,1.39143704,143768.12846926,103323.48811791
1620979200000,2021-05-14 08:00:00,XRP/USD,1.38,1.40726499,1.38,1.39381881,183834.195776716,131892.46296419
1620975600000,2021-05-14 07:00:00,XRP/USD,1.33537072,1.4,1.33537072,1.38,261028.612248425,189151.16829596
1620972000000,2021-05-14 06:00:00,XRP/USD,1.35999989,1.36352753,1.32675557,1.334541,137725.606983189,103200.73117513
1620968400000,2021-05-14 05:00:00,XRP/USD,1.33806617,1.35999999,1.33300889,1.35999999,101437.599251884,74586.47058658
1620964800000,2021-05-14 04:00:00,XRP/USD,1.33492777,1.35,1.32462286,1.3359328,96019.513986418,71874.5089471701
1620961200000,2021-05-14 03:00:00,XRP/USD,1.33604962,1.35200044,1.3309,1.33310351,61936.1437045555,46460.11599246
1620957600000,2021-05-14 02:00:00,XRP/USD,1.3508977,1.35590236,1.3302201,1.33699999,142481.197429905,106567.83731906
1620954000000,2021-05-14 01:00:00,XRP/USD,1.36371484,1.3663,1.34604794,1.34927933,95035.1282986407,70433.9910837
1620950400000,2021-05-14 00:00:00,XRP/USD,1.360227,1.37199999,1.34927188,1.36569387,110158.945567444,80661.52158056
1620946800000,2021-05-13 23:00:00,XRP/USD,1.30778769,1.361,1.29115282,1.36,122489.149849899,90065.55136022
1620943200000,2021-05-13 22:00:00,XRP/USD,1.3078397,1.34295311,1.298,1.31092789,113953.309522325,86925.68858408
1620939600000,2021-05-13 21:00:00,XRP/USD,1.29690176,1.318,1.28787993,1.30780626,120936.770551724,92473.0017363001
1620936000000,2021-05-13 20:00:00,XRP/USD,1.25855253,1.30048,1.25300011,1.29847529,138015.16601298,106290.17515842
1620932400000,2021-05-13 19:00:00,XRP/USD,1.24786972,1.28297535,1.23300386,1.26053589,102696.380962032,81470.4141125499
1620928800000,2021-05-13 18:00:00,XRP/USD,1.27831117,1.28888,1.24088001,1.24786972,109080.927106839,87413.7142352
1620925200000,2021-05-13 17:00:00,XRP/USD,1.2771799,1.28568636,1.23,1.277555,456227.859210018,357110.15119507
1620921600000,2021-05-13 16:00:00,XRP/USD,1.3077,1.34,1.26299978,1.27127594,249456.778334034,196225.51680954
1620918000000,2021-05-13 15:00:00,XRP/USD,1.3252169,1.32853239,1.29351152,1.30307831,123713.663916695,94939.54658542
1620914400000,2021-05-13 14:00:00,XRP/USD,1.34999999,1.37014,1.32459757,1.32609864,410967.494919344,309907.18376677
1620910800000,2021-05-13 13:00:00,XRP/USD,1.323,1.35,1.3,1.3467999,211829.443898164,157283.53105622
1620907200000,2021-05-13 12:00:00,XRP/USD,1.28916476,1.32670765,1.27486001,1.323,279188.972562417,211027.19014544
1620903600000,2021-05-13 11:00:00,XRP/USD,1.25270969,1.29208902,1.20600999,1.2859471,406615.217385554,316199.02357224
1620900000000,2021-05-13 10:00:00,XRP/USD,1.26,1.300101,1.25000001,1.25829989,246631.110370069,196003.44268493
1620896400000,2021-05-13 09:00:00,XRP/USD,1.325,1.33694311,1.243,1.26,606955.214599966,481710.48777775
1620892800000,2021-05-13 08:00:00,XRP/USD,1.37075289,1.37734337,1.32,1.3264,184411.059913765,139031.25747419
1620889200000,2021-05-13 07:00:00,XRP/USD,1.38398103,1.3913,1.36196698,1.37,100367.14331624,73260.688552
1620885600000,2021-05-13 06:00:00,XRP/USD,1.38645454,1.39129999,1.36080095,1.3835,143872.442017828,103991.64583869
1620882000000,2021-05-13 05:00:00,XRP/USD,1.3527893,1.3913,1.3527893,1.38563334,216717.052378059,156402.88532467
1620878400000,2021-05-13 04:00:00,XRP/USD,1.33613437,1.3608899,1.33613437,1.35152356,131553.853279625,97337.4472877301
1620874800000,2021-05-13 03:00:00,XRP/USD,1.33172773,1.33499802,1.3049699,1.33499802,176379.661396198,132119.79250441
1620871200000,2021-05-13 02:00:00,XRP/USD,1.351,1.36098853,1.33012912,1.3346099,97097.8072585181,72753.6992334001
1620867600000,2021-05-13 01:00:00,XRP/USD,1.31618134,1.3554509,1.3,1.35000001,130301.094028362,96519.32819494
1620864000000,2021-05-13 00:00:00,XRP/USD,1.28071118,1.33999994,1.24,1.31743091,429855.663206132,326283.26840011
1620860400000,2021-05-12 23:00:00,XRP/USD,1.3900001,1.39185989,1.263,1.27609083,424588.912125185,332726.246551889
1620856800000,2021-05-12 22:00:00,XRP/USD,1.42704551,1.42993731,1.33543241,1.39199999,267743.328643661,192344.34667177
1620853200000,2021-05-12 21:00:00,XRP/USD,1.4236397,1.43853446,1.42,1.42698186,80746.9011109957,56585.79367715
1620849600000,2021-05-12 20:00:00,XRP/USD,1.39758151,1.4294,1.3942352,1.42386616,422577.475046367,296781.73898477
1620846000000,2021-05-12 19:00:00,XRP/USD,1.37503148,1.40246912,1.3556,1.39700001,249177.51088757,178366.14824904
1620842400000,2021-05-12 18:00:00,XRP/USD,1.3958299,1.40605086,1.3511001,1.38209955,295232.524723404,213611.62061257
1620838800000,2021-05-12 17:00:00,XRP/USD,1.40018929,1.4168,1.3930501,1.39722996,173411.512492878,124110.93195631
1620835200000,2021-05-12 16:00:00,XRP/USD,1.40759087,1.417,1.37405365,1.400934,253027.70576547,180613.58048664
1620831600000,2021-05-12 15:00:00,XRP/USD,1.44690451,1.44690451,1.40190333,1.4092809,132764.791189293,94207.4721862001
1620828000000,2021-05-12 14:00:00,XRP/USD,1.45739109,1.4799999,1.44301106,1.44521999,368784.006185672,255174.9967046
1620824400000,2021-05-12 13:00:00,XRP/USD,1.44860941,1.46269999,1.42754001,1.45739109,208282.675355655,142914.74456294
1620820800000,2021-05-12 12:00:00,XRP/USD,1.46419999,1.46843,1.44521341,1.44948258,192560.875322398,132848.00933751
1620817200000,2021-05-12 11:00:00,XRP/USD,1.44,1.4642,1.43921355,1.4642,73195.6554791419,49990.20316838
1620813600000,2021-05-12 10:00:00,XRP/USD,1.4839843,1.4839843,1.4284001,1.4390599,227035.943765713,157766.84748544
1620810000000,2021-05-12 09:00:00,XRP/USD,1.47937186,1.495,1.4728003,1.48398442,145793.421005139,98244.57658736
1620806400000,2021-05-12 08:00:00,XRP/USD,1.48675781,1.49149999,1.46302175,1.48049989,92766.3137345647,62658.77786358
1620802800000,2021-05-12 07:00:00,XRP/USD,1.47366828,1.49589999,1.47,1.48859999,109598.987801969,73625.54651231
1620799200000,2021-05-12 06:00:00,XRP/USD,1.51637789,1.51637789,1.4675,1.47290975,245896.178683061,166945.85576819
1620795600000,2021-05-12 05:00:00,XRP/USD,1.51200144,1.52949999,1.51200144,1.51637789,167123.131537671,110212.06035764
1620792000000,2021-05-12 04:00:00,XRP/USD,1.54269989,1.54349889,1.51,1.51274165,168484.616097599,111376.99295686
1620788400000,2021-05-12 03:00:00,XRP/USD,1.52549818,1.54894156,1.51754001,1.54289614,110674.303608439,71731.53185051
1620784800000,2021-05-12 02:00:00,XRP/USD,1.51299988,1.53057434,1.50527367,1.52689118,52358.0786634641,34290.64189333
1620781200000,2021-05-12 01:00:00,XRP/USD,1.533,1.5351999,1.51026,1.51286166,71466.5283486307,47239.30167457
1620777600000,2021-05-12 00:00:00,XRP/USD,1.47999991,1.53754318,1.47672997,1.53300011,256052.421962473,167027.00821233
1620774000000,2021-05-11 23:00:00,XRP/USD,1.45842272,1.47999994,1.45563011,1.47999991,167937.259574229,113471.12823421
1620770400000,2021-05-11 22:00:00,XRP/USD,1.46452695,1.46980587,1.447,1.45688,183384.22191411,125874.62379476
1620766800000,2021-05-11 21:00:00,XRP/USD,1.4652,1.483,1.45545001,1.46393994,75892.1661472991,51841.03806014
1620763200000,2021-05-11 20:00:00,XRP/USD,1.471412,1.478637,1.46138,1.4652,72712.7725867591,49626.51691698
1620759600000,2021-05-11 19:00:00,XRP/USD,1.46693769,1.47862995,1.46331,1.47231932,74241.7126556771,50425.00743363
1620756000000,2021-05-11 18:00:00,XRP/USD,1.4759,1.48752535,1.45811,1.46612311,98042.794799918,66872.14336313
1620752400000,2021-05-11 17:00:00,XRP/USD,1.45147399,1.478011,1.44787,1.4759,122852.960641104,83239.3526940201
1620748800000,2021-05-11 16:00:00,XRP/USD,1.45393896,1.4831,1.4419,1.44879433,179194.483500137,123685.24626966
1620745200000,2021-05-11 15:00:00,XRP/USD,1.437,1.45354322,1.42787993,1.45354322,112975.576962199,77724.26399691
1620741600000,2021-05-11 14:00:00,XRP/USD,1.43328598,1.446,1.42192784,1.43882046,218033.945296907,151536.58942055
1620738000000,2021-05-11 13:00:00,XRP/USD,1.42019806,1.43597639,1.4055,1.43130186,221714.849289819,154904.32555563
1620734400000,2021-05-11 12:00:00,XRP/USD,1.42631669,1.42809989,1.3850001,1.42,204836.032519261,144250.72712624
1620730800000,2021-05-11 11:00:00,XRP/USD,1.45389997,1.45504264,1.42105854,1.4227599,147699.19825621,103811.75225434
1620727200000,2021-05-11 10:00:00,XRP/USD,1.45820353,1.47159999,1.445,1.44913309,120014.881878924,82818.39860473
1620723600000,2021-05-11 09:00:00,XRP/USD,1.4203762,1.4638,1.4201278,1.45525,168837.00715809,116019.2455991
1620720000000,2021-05-11 08:00:00,XRP/USD,1.44181429,1.44909999,1.41500001,1.42,170156.369658426,119828.42933692
1620716400000,2021-05-11 07:00:00,XRP/USD,1.433,1.44700657,1.42790304,1.43994332,76059.7675123929,52821.36210222
1620712800000,2021-05-11 06:00:00,XRP/USD,1.4091976,1.44,1.4091976,1.43303213,83464.421379531,58243.23100106
1620709200000,2021-05-11 05:00:00,XRP/USD,1.41951959,1.42634182,1.39819721,1.41529999,123699.737408703,87401.7793278601
1620705600000,2021-05-11 04:00:00,XRP/USD,1.38419721,1.42318546,1.38,1.41894713,104314.78924638,73515.6279194
1620702000000,2021-05-11 03:00:00,XRP/USD,1.38407871,1.39593724,1.37000089,1.38587272,86094.6142120644,62123.03119154
1620698400000,2021-05-11 02:00:00,XRP/USD,1.4131341,1.42,1.37821002,1.38503377,104956.332012365,75778.89744332
1620694800000,2021-05-11 01:00:00,XRP/USD,1.40493559,1.41612219,1.36010101,1.411,97044.2464680561,68776.92875128
1620691200000,2021-05-11 00:00:00,XRP/USD,1.39408629,1.44537239,1.38980545,1.402537,83726.3877001104,59696.38426659
1620687600000,2021-05-10 23:00:00,XRP/USD,1.4499998,1.45408544,1.37444,1.39160824,123762.172545215,88934.6361913001
1620684000000,2021-05-10 22:00:00,XRP/USD,1.4398,1.46097945,1.41000001,1.44999981,128288.467926973,88474.81706013
1620680400000,2021-05-10 21:00:00,XRP/USD,1.39612,1.47657603,1.38349121,1.442,285603.384952019,198060.59982803
1620676800000,2021-05-10 20:00:00,XRP/USD,1.40772,1.49531663,1.26,1.39887,1002483.47836842,716638.056694631
1620673200000,2021-05-10 19:00:00,XRP/USD,1.48683999,1.49941629,1.385,1.40700001,643430.206157203,457306.468787589
1620669600000,2021-05-10 18:00:00,XRP/USD,1.50500488,1.51,1.48415164,1.48810045,147241.353277366,98945.8428544701
1620666000000,2021-05-10 17:00:00,XRP/USD,1.52850001,1.53769989,1.50501,1.50501,129078.361291026,85765.7831449801
1620662400000,2021-05-10 16:00:00,XRP/USD,1.5480001,1.55332,1.52850001,1.52931456,77622.8500030137,50756.62786014
1620658800000,2021-05-10 15:00:00,XRP/USD,1.51108536,1.54839,1.50746997,1.54839,204451.991627333,132041.6636812
1620655200000,2021-05-10 14:00:00,XRP/USD,1.5405245,1.54281933,1.50747108,1.51289886,274602.150158091,181507.27548178
1620651600000,2021-05-10 13:00:00,XRP/USD,1.55225096,1.5622,1.52377477,1.54237461,130667.394239003,84718.32549098
1620648000000,2021-05-10 12:00:00,XRP/USD,1.56458741,1.57541997,1.55337064,1.55337064,68118.6204256079,43852.13591111
1620644400000,2021-05-10 11:00:00,XRP/USD,1.56850294,1.57478563,1.53799979,1.56662271,147414.228082877,94096.82825476
1620640800000,2021-05-10 10:00:00,XRP/USD,1.58632,1.59124489,1.5552345,1.56690067,178888.901368437,114167.35265576
1620637200000,2021-05-10 09:00:00,XRP/USD,1.58926151,1.6068,1.57321001,1.58632,106753.817429209,67296.52114908
1620633600000,2021-05-10 08:00:00,XRP/USD,1.61,1.61048134,1.58216,1.59055,169215.935166085,106388.31546703
1620630000000,2021-05-10 07:00:00,XRP/USD,1.58752416,1.6265,1.58334,1.61,223490.927784488,138814.24085993
1620626400000,2021-05-10 06:00:00,XRP/USD,1.58842776,1.59675364,1.583,1.58752416,117388.107367833,73944.13913539
1620622800000,2021-05-10 05:00:00,XRP/USD,1.59511,1.60666899,1.58020001,1.5899999,179835.124207579,113103.85881633
1620619200000,2021-05-10 04:00:00,XRP/USD,1.59322848,1.6087,1.57750001,1.59511011,210603.679740495,132030.80992352
1620615600000,2021-05-10 03:00:00,XRP/USD,1.56385078,1.59522952,1.55710077,1.5913189,145609.688746109,91502.5195428199
1620612000000,2021-05-10 02:00:00,XRP/USD,1.5777788,1.58172607,1.55516521,1.56391164,81812.3630167311,52312.65048755
1620608400000,2021-05-10 01:00:00,XRP/USD,1.58537044,1.58898978,1.57155907,1.57850302,86353.1379869059,54705.71604412
1620604800000,2021-05-10 00:00:00,XRP/USD,1.53588317,1.59649999,1.52688491,1.58581913,206675.993196783,130327.59492363
1620601200000,2021-05-09 23:00:00,XRP/USD,1.52201997,1.54328,1.52167397,1.5334701,84315.6451468813,54983.55993174
1620597600000,2021-05-09 22:00:00,XRP/USD,1.52384768,1.5372097,1.51561673,1.52201959,68034.6851578354,44700.26904045
1620594000000,2021-05-09 21:00:00,XRP/USD,1.533,1.54408022,1.5212,1.52383308,120997.601620801,79403.4485855901
1620590400000,2021-05-09 20:00:00,XRP/USD,1.51155282,1.53484535,1.51155282,1.53467999,117897.994764391,76822.5268672401
1620586800000,2021-05-09 19:00:00,XRP/USD,1.5153153,1.5179199,1.49373217,1.51095018,189981.839799629,125736.66710813
1620583200000,2021-05-09 18:00:00,XRP/USD,1.51290981,1.5222,1.50570665,1.51612999,116404.530833636,76777.4080068401
1620579600000,2021-05-09 17:00:00,XRP/USD,1.50700506,1.52978702,1.50505475,1.51184148,117237.246648093,77545.99155997
1620576000000,2021-05-09 16:00:00,XRP/USD,1.51095357,1.51215448,1.50218041,1.50733095,72336.1841352578,47989.58326654
1620572400000,2021-05-09 15:00:00,XRP/USD,1.50733225,1.51799999,1.50299015,1.511,69852.3565882395,46229.22342041
1620568800000,2021-05-09 14:00:00,XRP/USD,1.49999989,1.51789999,1.49319,1.50954364,82959.1823108167,54956.46506173
1620565200000,2021-05-09 13:00:00,XRP/USD,1.4682999,1.50279999,1.46632593,1.50034999,224503.454416628,149634.05599558
1620561600000,2021-05-09 12:00:00,XRP/USD,1.50936631,1.5111785,1.45758084,1.46251001,321838.475659011,220058.98999557
1620558000000,2021-05-09 11:00:00,XRP/USD,1.52376688,1.53255549,1.50688824,1.51,78878.8086823041,52237.62164391
1620554400000,2021-05-09 10:00:00,XRP/USD,1.53459979,1.53459979,1.50943689,1.52516153,94568.5527549058,62005.59802666
1620550800000,2021-05-09 09:00:00,XRP/USD,1.53468955,1.54960441,1.5165,1.53246385,138164.404695992,90158.34513551
1620547200000,2021-05-09 08:00:00,XRP/USD,1.51199789,1.53600761,1.5101,1.5355,148860.248231012,96945.78198047
1620543600000,2021-05-09 07:00:00,XRP/USD,1.5239315,1.52654989,1.50500001,1.51,147505.002529196,97685.4321385401
1620540000000,2021-05-09 06:00:00,XRP/USD,1.531,1.54959999,1.51758,1.52278183,136869.354335912,89881.1317809799
1620536400000,2021-05-09 05:00:00,XRP/USD,1.516645,1.53267999,1.50078874,1.53,137226.068164925,89690.24063067
1620532800000,2021-05-09 04:00:00,XRP/USD,1.52392999,1.53701257,1.400885,1.51512329,1139231.0569259,751906.504536601
1620529200000,2021-05-09 03:00:00,XRP/USD,1.56989813,1.56989813,1.52,1.52393,151836.513870339,99634.83484828
1620525600000,2021-05-09 02:00:00,XRP/USD,1.5811,1.59675365,1.56724841,1.56999213,58538.4794024781,37285.84257456
1620522000000,2021-05-09 01:00:00,XRP/USD,1.56490793,1.58205211,1.563,1.5811,12476.6571671498,7891.12463927
1620518400000,2021-05-09 00:00:00,XRP/USD,1.56760001,1.57447277,1.55824991,1.56500032,20545.3129267447,13127.99279603
1620514800000,2021-05-08 23:00:00,XRP/USD,1.57809073,1.58305856,1.56179001,1.56694094,8656.03702587006,5524.16291189
1620511200000,2021-05-08 22:00:00,XRP/USD,1.563,1.59376288,1.55310001,1.57833512,69216.7192402409,43854.2603298601
1620507600000,2021-05-08 21:00:00,XRP/USD,1.57150492,1.57150492,1.55590001,1.56299999,11592.7113578998,7416.96188872001
1620504000000,2021-05-08 20:00:00,XRP/USD,1.5791107,1.58033,1.56407,1.56961029,84482.2285138466,53823.69690877
1620500400000,2021-05-08 19:00:00,XRP/USD,1.57721077,1.58329999,1.57197123,1.5797864,75899.69611964,48044.27745399
1620496800000,2021-05-08 18:00:00,XRP/USD,1.56499994,1.58499999,1.56116102,1.57730019,143610.372557983,91048.2186387
1620493200000,2021-05-08 17:00:00,XRP/USD,1.55271011,1.56615731,1.54255937,1.565,98521.0829305205,62952.7686457
1620489600000,2021-05-08 16:00:00,XRP/USD,1.55183819,1.5711299,1.55026721,1.55369738,103843.823897552,66836.58300148
1620486000000,2021-05-08 15:00:00,XRP/USD,1.59540923,1.5961197,1.55,1.55026862,144189.881181917,93009.61092918
1620482400000,2021-05-08 14:00:00,XRP/USD,1.59157347,1.60072628,1.58390052,1.59521475,102596.356868365,64315.07536422
1620478800000,2021-05-08 13:00:00,XRP/USD,1.58595233,1.60306049,1.58205184,1.59157347,104384.714470661,65585.85980367
1620475200000,2021-05-08 12:00:00,XRP/USD,1.58380468,1.58915989,1.57698362,1.58642,71723.4776652846,45210.90106358
1620471600000,2021-05-08 11:00:00,XRP/USD,1.59443933,1.59639996,1.581,1.58294291,96810.8073075101,61158.7484905
1620468000000,2021-05-08 10:00:00,XRP/USD,1.60363207,1.6048297,1.58620001,1.59437989,101593.049327153,63719.4748656501
1620464400000,2021-05-08 09:00:00,XRP/USD,1.60203877,1.61022,1.595,1.60393343,103768.167135193,64696.0560795801
1620460800000,2021-05-08 08:00:00,XRP/USD,1.60099672,1.63,1.6,1.60240162,185732.668446692,115908.93701586
1620457200000,2021-05-08 07:00:00,XRP/USD,1.58,1.6044996,1.57172,1.60449927,144556.134362034,90094.2350457
1620453600000,2021-05-08 06:00:00,XRP/USD,1.5799997,1.59091989,1.57600001,1.58142838,73575.605139513,46524.77852934
1620450000000,2021-05-08 05:00:00,XRP/USD,1.5875025,1.58968671,1.575,1.58002586,115871.690527551,73335.31270656
1620446400000,2021-05-08 04:00:00,XRP/USD,1.60177547,1.60500963,1.58342,1.588079,99817.1070266198,62853.99342641
1620442800000,2021-05-08 03:00:00,XRP/USD,1.60886978,1.6179001,1.6,1.60100825,92622.6818380189,57852.71989574
1620439200000,2021-05-08 02:00:00,XRP/USD,1.6048546,1.61497228,1.58953098,1.60714941,64429.0010148638,40088.99273084
