DateTime,Aggregated Exchanges,Binance,Bitfinex,Bitstamp,Coinbase,Gemini,Huobi,Kraken,Luno,Okex,Poloniex,Price
2013-04-22T00:00:00.000Z,1.7322244,,,,1.1822244,,,,0.55,,,122.95
2013-04-23T00:00:00.000Z,-0.32015303,,,,0.94534697,,,,-1.2655,,,134.5
2013-04-24T00:00:00.000Z,-3.50145519,,,,-2.65979979,,,,-0.9995,,0.1578446,153.7
2013-04-25T00:00:00.000Z,-0.79045459,,,,1.52529001,,,,-0.9995,,-1.3162446,141.05
2013-04-26T00:00:00.000Z,4.1632213,,,,3.8897213,,,,-0.0005,,0.274,133.22
2013-04-27T00:00:00.000Z,22.9722662,,,,19.4822662,,,,2.49,,1,131.29
2013-04-28T00:00:00.000Z,-22.69880292,,,,-20.29880292,,,,-2.4,,,132.09
2013-04-29T00:00:00.000Z,3.0749419,,,,-0.4217801,,,,3.211722,,0.285,141.04
2013-04-30T00:00:00.000Z,3.88368019,,,,0.20168019,,,,2.52,,1.162,140.47
2013-05-01T00:00:00.000Z,-1.51991927,,,,0.41658073,,,,-2.5195,,0.583,122.03
2013-05-02T00:00:00.000Z,11.73588746,,,,4.14438746,,,,-0.5005,,8.092,109.01
2013-05-03T00:00:00.000Z,-10.45777866,,,,-1.55177866,,,,2.49,,-11.396,94
2013-05-04T00:00:00.000Z,-2.73931176,,,,-1.74981176,,,,-0.9895,,,104.15
2013-05-05T00:00:00.000Z,5.68854486,,,,0.48954486,,,,-1.401,,6.6,112.93
2013-05-06T00:00:00.000Z,-0.49229632,,,,0.10670368,,,,-0.599,,,115.46
2013-05-07T00:00:00.000Z,1.71260275,,,,1.11260275,,,,0.6,,,105.76
2013-05-08T00:00:00.000Z,8.96963382,,,,5.87863382,,,,1.891,,1.2,113.14
2013-05-09T00:00:00.000Z,2.71838084,,,,2.40938084,,,,0.309,,,111.26
2013-05-10T00:00:00.000Z,-17.54735249,,,,-8.04635249,,,,-1.701,,-7.8,117.02
2013-05-11T00:00:00.000Z,14.63966999,,,,5.73966999,,,,8.9,,,115.87
2013-05-12T00:00:00.000Z,-11.26449865,,,,-0.86549865,,,,-10.399,,,114.94
2013-05-13T00:00:00.000Z,5.52810623,,,,-2.48189377,,,,8.01,,,116.69
2013-05-14T00:00:00.000Z,0.05725638,,,,1.26925638,,,,-1.212,,,114.61
2013-05-15T00:00:00.000Z,3.99198365,,,,1.01048365,,,,2.702,,0.2795,109.73
2013-05-16T00:00:00.000Z,46.57317646,,,,26.40167646,,,,-4.828,,24.9995,115.54
2013-05-17T00:00:00.000Z,-25.79671087,,,,-24.51471087,,,,-1.282,,,121.07
